,name,td,tpd
0,DBLP_downsample_10_AA.csv,-0.09953923198722237,-0.09873252212406747
1,DBLP_downsample_30_AA.csv,-0.08544842087253926,-0.08469468669173982
2,DBLP_downsample_50_AA.csv,-0.07335984755303904,-0.07260019970767789
3,DBLP_downsample_70_AA.csv,-0.055482624540673584,-0.054840755389146706
4,DBLP_downsample_90_AA.csv,-0.055482624540673584,-0.054840755389146706
5,DBLP_downsample_10_CN.csv,-0.09953923198722237,-0.09873252212406747
6,DBLP_downsample_30_CN.csv,-0.08544842087253926,-0.08469468669173982
7,DBLP_downsample_50_CN.csv,-0.07335984755303904,-0.07260019970767789
8,DBLP_downsample_70_CN.csv,-0.055482624540673584,-0.054840755389146706
9,DBLP_downsample_90_CN.csv,-0.055482624540673584,-0.054840755389146706
